taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Leuciscus idus	?	1	?	2	0	0
Leuciscus danilewskii	?	?	?	?	?	?
Leuciscus schmidti	?	?	?	?	?	?
Leuciscus waleckii	?	?	?	?	?	?
Leuciscus leuciscus	?	?	?	?	?	?
Leuciscus cf. latus SP-2010	?	?	?	?	?	?
Leuciscus baicalensis	?	?	?	?	?	?
Leuciscus spurius	?	?	?	?	?	?
Leuciscus chuanchicus	?	?	?	?	?	?
Leuciscus merzbacheri	?	?	?	?	?	?
Leuciscus gaderanus	?	?	?	?	?	?
Leuciscus bergi	?	?	?	?	?	?
Leuciscus burdigalensis	?	?	?	?	?	?
Leuciscus lucidus	?	?	?	?	?	?
Leuciscus chub	?	?	?	?	?	?
Leuciscus bearnensis	?	?	?	?	?	?
Leuciscus dzungaricus	?	?	?	?	?	?
Leuciscus lehmanni	?	?	?	?	?	?
Leuciscus oxyrrhis	?	?	?	?	?	?
Leuciscus lindbergi	?	?	?	?	?	?
Leuciscus latus	?	?	?	?	?	?
Leuciscus vorax	?	?	?	?	?	?
Leuciscus svallize	?	?	?	?	?	?
Aspius aspius	?	?	?	?	?	?
Aspius vorax	?	?	?	?	?	?
Aspius alburnus	?	?	?	?	?	?
Pachychilon macedonicum	?	?	?	?	?	?
Pachychilon pictum	?	?	?	?	?	?
Pachychilon lemmingii	?	?	?	?	?	?
Pachychilon lusitanicum	?	?	?	?	?	?
Pelecus cultratus	?	?	?	?	?	?
Gila modesta	1	?	2	?	1	0
Gila pulchra	1	1	2	2	1	0
Gila cypha	1	?	2	?	1	0
Moapa coriacea	1	1	2	2	0	0
Gila robusta	1	1	2	2	1	0
Gila elegans	1	?	2	?	1	0
Gila eremica	1	?	2	?	1	0
Gila intermedia	1	?	2	?	1	0
Gila minacae	1	?	2	?	1	0
Gila purpurea	1	?	2	?	1	0
Gila seminuda	1	?	2	?	1	0
Gila brevicauda	1	?	2	?	1	0
Gila nigra	1	?	2	?	1	0
Gila coerulea	1	?	2	?	1	0
Gila atraria	1	?	2	?	0	0
Gila ditaenia	1	?	2	?	1	0
Gila conspersa	1	?	2	?	1	0
Gila orcuttii	1	?	2	?	1	0
Gila nigrescens	1	?	2	?	1	0
Gila pandora	1	1	2	2	1	0
Gila crassicauda	1	?	2	?	0	0
Gila sp. SIS-2013	?	?	?	?	?	?
Acrocheilus alutaceus	1	1	2	2	0	0
Eremichthys acros	1	?	2	?	1	0
Hesperoleucus symmetricus	1	1	2	2	0	0
Relictus solitarius	1	1	2	2	0	0
Siphateles boraxobius	?	?	?	?	?	?
Siphateles bicolor	?	?	?	?	?	?
Siphateles alvordensis	?	?	?	?	?	?
Orthodon microlepidotus	1	1	2	2	0	0
Pseudaspius leptocephalus	?	?	?	?	?	?
Tribolodon hakonensis	1	?	2	?	1	0
Tribolodon sachalinensis	1	?	2	?	1	0
Tribolodon brandtii	1	?	2	?	1	0
Tribolodon ezoe	1	?	2	?	1	0
Tribolodon nakamurai	1	?	2	?	1	0
Tribolodon sp. NP-2015	?	?	?	?	?	?
Tribolodon sp. ADK-2014	?	?	?	?	?	?
Meda fulgida	?	?	?	?	?	?
Plagopterus argentissimus	1	1	2	2	0	0
Lepidomeda vittata	?	1	?	2	0	0
Lepidomeda mollispinis	?	?	?	?	?	?
Lepidomeda albivallis	?	?	?	?	?	?
Lepidomeda copei	?	?	?	?	?	?
Lepidomeda aliciae	?	?	?	?	?	?
Lepidomeda altivelis	?	?	?	?	?	?
Snyderichthys copei	?	?	?	?	?	?
